Instances,feature_ VariableCount,feature_ VPOPSMean,feature_ POPSCount,feature_ PSSMaximum,feature_ PSSMean,feature_ PSSStandardDeviation,feature_ VPOPSMaximum,feature_ VPOPSStandardDeviation,feature_ PatterndatabaselowerboundIndegreeMaximum,feature_ PatterndatabaselowerboundIndegreeMean,feature_ PatterndatabaselowerboundIndegreeStandardDeviation,feature_ PatterndatabaselowerboundLeafCount,feature_ PatterndatabaselowerboundNTCCount,feature_ PatterndatabaselowerboundNTCMax,feature_ PatterndatabaselowerboundNTCMean,feature_ PatterndatabaselowerboundNTCStandardDeviation,feature_ PatterndatabaselowerboundOutdegreeMaximum,feature_ PatterndatabaselowerboundOutdegreeMean,feature_ PatterndatabaselowerboundOutdegreeStandardDeviation,feature_ PatterndatabaselowerboundRootCount,feature_ PatterndatabaselowerboundTotalDegreeMaximum,feature_ PatterndatabaselowerboundTotalDegreeMean,feature_ PatterndatabaselowerboundTotalDegreeStandardDeviation,feature_ SimplelowerboundIndegreeMaximum,feature_ SimplelowerboundIndegreeMean,feature_ SimplelowerboundIndegreeStandardDeviation,feature_ SimplelowerboundLeafCount,feature_ SimplelowerboundNTCCount,feature_ SimplelowerboundNTCMax,feature_ SimplelowerboundNTCMean,feature_ SimplelowerboundNTCStandardDeviation,feature_ SimplelowerboundOutdegreeMaximum,feature_ SimplelowerboundOutdegreeMean,feature_ SimplelowerboundOutdegreeStandardDeviation,feature_ SimplelowerboundRootCount,feature_ SimplelowerboundTotalDegreeMaximum,feature_ SimplelowerboundTotalDegreeMean,feature_ SimplelowerboundTotalDegreeStandardDeviation,feature_ GreedyhillclimbingErrorbound,feature_ GreedyhillclimbingIndegreeMaximum,feature_ GreedyhillclimbingIndegreeMean,feature_ GreedyhillclimbingIndegreeStandardDeviation,feature_ GreedyhillclimbingLeafCount,feature_ GreedyhillclimbingOutdegreeMaximum,feature_ GreedyhillclimbingOutdegreeMean,feature_ GreedyhillclimbingOutdegreeStandardDeviation,feature_ GreedyhillclimbingRootCount,feature_ GreedyhillclimbingTotalDegreeMaximum,feature_ GreedyhillclimbingTotalDegreeMean,feature_ GreedyhillclimbingTotalDegreeStandardDeviation,feature_ AnytimewindowA*Errorbound,feature_ AnytimewindowA*IndegreeMaximum,feature_ AnytimewindowA*IndegreeMean,feature_ AnytimewindowA*IndegreeStandardDeviation,feature_ AnytimewindowA*LeafCount,feature_ AnytimewindowA*OutdegreeMaximum,feature_ AnytimewindowA*OutdegreeMean,feature_ AnytimewindowA*OutdegreeStandardDeviation,feature_ AnytimewindowA*RootCount,feature_ AnytimewindowA*TotalDegreeMaximum,feature_ AnytimewindowA*TotalDegreeMean,feature_ AnytimewindowA*TotalDegreeStandardDeviation,feature_ GOBNILPErrorbound,feature_ GOBNILPIndegreeMaximum,feature_ GOBNILPIndegreeMean,feature_ GOBNILPIndegreeStandardDeviation,feature_ GOBNILPLeafCount,feature_ GOBNILPOutdegreeMaximum,feature_ GOBNILPOutdegreeMean,feature_ GOBNILPOutdegreeStandardDeviation,feature_ GOBNILPRootCount,feature_ GOBNILPTotalDegreeMaximum,feature_ GOBNILPTotalDegreeMean,feature_ GOBNILPTotalDegreeStandardDeviation,feature_ CPBayesErrorbound,feature_ CPBayesIndegreeMaximum,feature_ CPBayesIndegreeMean,feature_ CPBayesIndegreeStandardDeviation,feature_ CPBayesLeafCount,feature_ CPBayesOutdegreeMaximum,feature_ CPBayesOutdegreeMean,feature_ CPBayesOutdegreeStandardDeviation,feature_ CPBayesRootCount,feature_ CPBayesTotalDegreeMaximum,feature_ CPBayesTotalDegreeMean,feature_ CPBayesTotalDegreeStandardDeviation,algo_astar-ec,algo_astar-ed3,algo_astar-comp,algo_cpbayes,algo_ilp-141,algo_ilp-141-nc,algo_ilp-162,algo_ilp-162-nc
mushroom_bdeu-1-2,0.0,2.0,1.82,0.5,11.0,8.0,1.82,2.65,1.0,9.0,3.64,2.52,3.1,2.0,1.82,0.5,11.0,7.0,1.82,2.67,1.0,9.0,3.64,2.52,2.41,2.0,1.82,0.5,11.0,9.0,1.82,2.92,1.0,10.0,3.64,2.72,15.78,2.0,1.82,0.5,11.0,9.0,1.82,2.75,1.0,11.0,3.64,2.68,4905.0,2.0,1.9,0.32,2.0,1.95,0.21,10.0,1.0,8.0,8.0,0.0,9.0,1.95,2.84,0.0,11.0,3.91,2.86,2.0,1.95,0.21,10.0,1.0,8.0,8.0,0.0,9.0,1.95,2.9,0.0,11.0,3.91,2.93,230.0,222.95,11.99,22.0,0.12,0.11,81.15,4.7,98.92,95.59,140.39,148.18
mushroom_bdeu-1-3,0.0,3.0,2.59,0.85,10.0,11.0,2.59,3.65,1.0,14.0,5.18,3.4,4.0,3.0,2.59,0.85,10.0,11.0,2.59,3.65,1.0,14.0,5.18,3.4,19.31,3.0,2.59,0.85,9.0,13.0,2.59,3.76,1.0,13.0,5.18,3.46,26.59,3.0,2.59,0.85,8.0,8.0,2.59,3.1,1.0,11.0,5.18,2.97,29603.0,3.0,2.82,0.43,3.0,2.95,0.21,8.0,2.0,9.0,5.5,4.95,13.0,2.95,3.92,0.0,16.0,5.91,3.95,3.0,2.95,0.21,8.0,2.0,10.0,6.0,5.66,13.0,2.95,3.96,0.0,16.0,5.91,3.99,1489.0,1345.59,194.63,22.0,1.26,1.34,196.81,11.05,NaN,NaN,NaN,NaN
mushroom_bdeu-1-4,0.96,4.0,3.36,1.14,8.0,15.0,3.36,4.19,1.0,18.0,6.73,3.87,-1.0,4.0,3.86,0.47,5.0,15.0,3.86,4.16,0.0,19.0,7.73,4.26,-1.0,4.0,3.86,0.47,5.0,15.0,3.86,4.16,0.0,19.0,7.73,4.26,30.63,4.0,3.36,1.22,6.0,13.0,3.36,3.92,1.0,16.0,6.73,3.48,110594.0,4.0,3.68,0.57,4.0,3.86,0.47,4.0,1.0,18.0,18.0,0.0,15.0,3.86,3.83,0.0,19.0,7.73,3.92,4.0,3.86,0.47,5.0,1.0,17.0,17.0,0.0,15.0,3.86,4.16,0.0,19.0,7.73,4.26,6625.0,5027.0,1386.2,22.0,6.98,7.71,362.65,40.36,NaN,NaN,NaN,NaN
mushroom_bdeu-1-5,3.42,5.0,4.09,1.48,8.0,14.0,4.09,4.77,1.0,18.0,8.18,4.29,-1.0,5.0,4.59,0.8,6.0,16.0,4.59,5.19,0.0,21.0,9.18,5.1,-1.0,5.0,4.59,0.8,6.0,16.0,4.59,5.19,0.0,21.0,9.18,5.1,31.96,5.0,4.05,1.46,7.0,18.0,4.05,5.05,1.0,18.0,8.09,3.87,257016.0,5.0,4.43,0.75,5.0,4.64,0.79,4.0,1.0,18.0,18.0,0.0,16.0,4.64,5.19,0.0,21.0,9.27,5.2,5.0,4.59,0.8,6.0,1.0,16.0,16.0,0.0,16.0,4.59,5.19,0.0,21.0,9.18,5.1,20323.0,11682.55,4919.82,22.0,21.53,23.37,3400.98,120.78,NaN,NaN,NaN,NaN
mushroom_bdeu-1-6,6.66,6.0,4.41,2.02,9.0,14.0,4.41,5.0,1.0,17.0,8.82,4.32,-1.0,6.0,5.23,1.15,8.0,17.0,5.23,6.01,0.0,23.0,10.45,5.7,-1.0,6.0,5.23,1.15,8.0,17.0,5.23,6.01,0.0,23.0,10.45,5.7,32.06,6.0,4.68,1.89,11.0,19.0,4.68,6.18,1.0,19.0,9.36,4.88,390133.0,6.0,4.97,0.96,6.0,5.36,1.09,3.0,1.0,19.0,19.0,0.0,16.0,5.36,5.36,0.0,22.0,10.73,5.18,6.0,5.23,1.15,8.0,1.0,14.0,14.0,0.0,17.0,5.23,6.01,0.0,23.0,10.45,5.7,41231.0,17733.32,10121.52,22.0,36.3,39.25,NaN,178.73,NaN,NaN,NaN,NaN
mushroom_bdeu-10-2,0.0,2.0,1.86,0.47,11.0,10.0,1.86,2.78,1.0,10.0,3.73,2.51,1.1,2.0,1.86,0.47,11.0,10.0,1.86,2.83,1.0,10.0,3.73,2.51,4.16,2.0,1.86,0.47,12.0,11.0,1.86,2.92,1.0,13.0,3.73,2.93,15.14,2.0,1.86,0.47,10.0,9.0,1.86,2.57,1.0,9.0,3.73,2.33,5066.0,2.0,1.9,0.31,2.0,2.0,0.0,10.0,1.0,8.0,8.0,0.0,9.0,2.0,2.85,0.0,11.0,4.0,2.85,2.0,2.0,0.0,10.0,1.0,8.0,8.0,0.0,9.0,2.0,2.93,0.0,11.0,4.0,2.93,232.0,230.27,2.83,22.0,0.12,0.12,82.12,1.03,129.43,122.43,160.6,207.18
mushroom_bdeu-10-3,0.0,3.0,2.73,0.77,10.0,14.0,2.73,4.21,1.0,14.0,5.45,3.78,4.1,3.0,2.73,0.77,10.0,14.0,2.73,4.33,1.0,14.0,5.45,3.78,18.25,3.0,2.73,0.77,10.0,13.0,2.73,4.24,1.0,14.0,5.45,3.73,26.2,3.0,2.73,0.77,9.0,10.0,2.73,3.55,1.0,13.0,5.45,3.47,31355.0,3.0,2.82,0.42,3.0,3.0,0.0,8.0,2.0,9.0,5.5,4.95,13.0,3.0,4.36,0.0,16.0,6.0,4.36,3.0,3.0,0.0,9.0,2.0,10.0,6.0,5.66,13.0,3.0,4.42,0.0,16.0,6.0,4.42,1522.0,1425.23,133.27,22.0,1.21,1.28,187.78,11.26,NaN,NaN,NaN,NaN
mushroom_bdeu-10-4,2.5,4.0,3.45,1.1,9.0,14.0,3.45,4.48,1.0,17.0,6.91,3.69,-1.0,4.0,4.0,0.0,5.0,15.0,4.0,4.07,0.0,19.0,8.0,4.07,-1.0,4.0,4.0,0.0,5.0,15.0,4.0,4.07,0.0,19.0,8.0,4.07,30.96,4.0,3.5,1.1,5.0,13.0,3.5,3.64,1.0,17.0,7.0,3.34,118423.0,4.0,3.69,0.56,4.0,4.0,0.0,4.0,1.0,18.0,18.0,0.0,16.0,4.0,4.06,0.0,20.0,8.0,4.06,4.0,4.0,0.0,5.0,1.0,17.0,17.0,0.0,15.0,4.0,4.07,0.0,19.0,8.0,4.07,6727.0,5382.86,1255.71,22.0,7.68,8.22,363.67,43.27,NaN,NaN,NaN,NaN
mushroom_bdeu-10-5,3.66,5.0,4.14,1.46,8.0,15.0,4.14,5.05,1.0,19.0,8.27,4.5,-1.0,5.0,4.86,0.35,6.0,17.0,4.86,5.38,0.0,22.0,9.73,5.38,-1.0,5.0,4.86,0.35,6.0,17.0,4.86,5.38,0.0,22.0,9.73,5.38,31.94,5.0,4.18,1.47,6.0,15.0,4.18,4.83,1.0,17.0,8.36,4.05,276859.0,5.0,4.44,0.75,5.0,4.95,0.21,4.0,1.0,18.0,18.0,0.0,17.0,4.95,5.3,0.0,22.0,9.91,5.34,5.0,4.86,0.35,6.0,1.0,16.0,16.0,0.0,17.0,4.86,5.38,0.0,22.0,9.73,5.38,20625.0,12584.5,4820.12,22.0,24.05,26.4,3704.29,128.68,NaN,NaN,NaN,NaN
mushroom_bdeu-10-6,7.35,6.0,4.55,1.84,9.0,14.0,4.55,5.16,1.0,17.0,9.09,4.39,-1.0,6.0,5.59,0.67,7.0,16.0,5.59,6.18,0.0,22.0,11.18,6.04,-1.0,6.0,5.59,0.67,7.0,16.0,5.59,6.18,0.0,22.0,11.18,6.04,32.69,6.0,4.68,1.81,9.0,17.0,4.68,5.74,1.0,19.0,9.36,4.52,420392.0,6.0,4.97,0.96,6.0,5.59,0.67,3.0,1.0,19.0,19.0,0.0,16.0,5.59,5.59,0.0,22.0,11.18,5.48,6.0,5.59,0.67,7.0,1.0,15.0,15.0,0.0,16.0,5.59,6.18,0.0,22.0,11.18,6.04,41958.0,19108.73,10118.67,22.0,40.98,44.08,4864.33,201.9,NaN,NaN,NaN,NaN
mushroom_bdeu-100-2,0.0,2.0,1.86,0.47,11.0,8.0,1.86,2.66,1.0,10.0,3.73,2.62,3.1,2.0,1.86,0.47,12.0,9.0,1.86,2.88,1.0,10.0,3.73,2.62,2.51,2.0,1.86,0.47,14.0,11.0,1.86,3.3,1.0,13.0,3.73,3.21,15.82,2.0,1.86,0.47,11.0,7.0,1.86,2.34,1.0,9.0,3.73,2.25,5104.0,2.0,1.9,0.31,2.0,2.0,0.0,11.0,1.0,8.0,8.0,0.0,10.0,2.0,2.99,0.0,12.0,4.0,2.99,2.0,2.0,0.0,11.0,1.0,8.0,8.0,0.0,10.0,2.0,3.07,0.0,12.0,4.0,3.07,232.0,232.0,0.0,22.0,0.12,0.13,105.22,5.19,125.09,148.28,307.39,217.15
mushroom_bdeu-100-3,0.0,3.0,2.73,0.77,14.0,14.0,2.73,5.05,1.0,17.0,5.45,4.69,4.3,3.0,2.73,0.77,13.0,16.0,2.73,5.0,1.0,17.0,5.45,4.69,22.91,3.0,2.73,0.77,13.0,16.0,2.73,5.08,1.0,16.0,5.45,4.45,26.14,3.0,2.73,0.77,10.0,13.0,2.73,4.08,1.0,16.0,5.45,4.07,34050.0,3.0,2.84,0.41,3.0,3.0,0.0,11.0,1.0,9.0,9.0,0.0,16.0,3.0,5.28,0.0,19.0,6.0,5.28,3.0,3.0,0.0,11.0,1.0,9.0,9.0,0.0,16.0,3.0,5.3,0.0,19.0,6.0,5.3,1562.0,1547.73,26.22,22.0,1.2,1.4,192.34,11.67,NaN,NaN,NaN,NaN
mushroom_bdeu-100-4,3.44,4.0,3.55,1.1,9.0,16.0,3.55,4.67,1.0,20.0,7.09,4.47,-1.0,4.0,4.0,0.0,7.0,18.0,4.0,5.27,0.0,22.0,8.0,5.27,-1.0,4.0,4.0,0.0,7.0,18.0,4.0,5.27,0.0,22.0,8.0,5.27,30.95,4.0,3.55,1.1,6.0,16.0,3.55,4.36,1.0,17.0,7.09,3.64,147435.0,4.0,3.73,0.53,4.0,4.0,0.0,5.0,1.0,17.0,17.0,0.0,19.0,4.0,5.12,0.0,23.0,8.0,5.12,4.0,4.0,0.0,7.0,1.0,15.0,15.0,0.0,18.0,4.0,5.27,0.0,22.0,8.0,5.27,7465.0,6701.59,762.5,22.0,9.03,9.78,460.58,50.75,NaN,NaN,NaN,NaN
mushroom_bdeu-100-5,7.13,5.0,4.32,1.46,8.0,13.0,4.32,4.45,1.0,17.0,8.64,3.81,-1.0,5.0,5.0,0.0,6.0,16.0,5.0,5.41,0.0,21.0,10.0,5.41,-1.0,5.0,5.0,0.0,6.0,16.0,5.0,5.41,0.0,21.0,10.0,5.41,32.26,5.0,4.32,1.46,7.0,15.0,4.32,4.81,1.0,18.0,8.64,4.22,387904.0,5.0,4.52,0.7,5.0,5.0,0.0,5.0,1.0,17.0,17.0,0.0,19.0,5.0,5.38,0.0,24.0,10.0,5.38,5.0,5.0,0.0,6.0,1.0,16.0,16.0,0.0,16.0,5.0,5.41,0.0,21.0,10.0,5.41,24431.0,17632.0,4843.95,22.0,34.64,37.89,3389.2,175.07,NaN,NaN,NaN,NaN
mushroom_bdeu-100-6,7.29,6.0,5.0,1.83,8.0,16.0,5.0,5.49,1.0,19.0,10.0,4.69,-1.0,6.0,6.0,0.0,7.0,18.0,6.0,6.78,0.0,24.0,12.0,6.78,-1.0,6.0,6.0,0.0,7.0,18.0,6.0,6.78,0.0,24.0,12.0,6.78,33.55,6.0,5.0,1.83,7.0,17.0,5.0,5.43,1.0,20.0,10.0,4.63,627982.0,6.0,5.08,0.9,6.0,5.95,0.21,4.0,1.0,18.0,18.0,0.0,19.0,5.95,6.24,0.0,25.0,11.91,6.17,6.0,6.0,0.0,7.0,1.0,15.0,15.0,0.0,18.0,6.0,6.78,0.0,24.0,12.0,6.78,51642.0,28544.64,12318.47,22.0,66.51,71.59,NaN,431.54,NaN,NaN,NaN,NaN
mushroom_bic,0.0,4.0,3.05,1.25,11.0,14.0,3.05,4.92,1.0,16.0,6.09,4.45,6.7,4.0,3.14,1.17,12.0,15.0,3.14,5.04,1.0,16.0,6.27,4.57,12.59,4.0,3.0,1.23,12.0,15.0,3.0,4.63,1.0,16.0,6.0,4.33,18.76,4.0,3.14,1.21,11.0,16.0,3.14,5.2,1.0,17.0,6.27,4.58,13024.0,6.0,2.89,0.82,4.0,3.55,0.8,8.0,1.0,14.0,14.0,0.0,15.0,3.55,4.91,0.0,18.0,7.09,4.99,4.0,3.45,0.91,8.0,1.0,14.0,14.0,0.0,15.0,3.45,5.09,0.0,18.0,6.91,5.15,1298.0,592.0,319.59,22.0,0.49,0.49,123.71,8.06,NaN,NaN,NaN,NaN
mushroom_bic-2,0.0,2.0,1.82,0.5,9.0,12.0,1.82,2.7,1.0,13.0,3.64,2.57,3.6,2.0,1.82,0.5,10.0,13.0,1.82,2.95,1.0,13.0,3.64,2.57,2.06,2.0,1.77,0.53,11.0,12.0,1.77,2.79,1.0,12.0,3.55,2.5,13.35,2.0,1.77,0.53,9.0,8.0,1.77,2.27,1.0,10.0,3.55,2.3,3899.0,2.0,1.87,0.35,2.0,1.95,0.21,10.0,1.0,7.0,7.0,0.0,12.0,1.95,2.84,0.0,14.0,3.91,2.86,2.0,1.95,0.21,10.0,1.0,6.0,6.0,0.0,12.0,1.95,2.92,0.0,14.0,3.91,2.94,222.0,177.23,37.32,22.0,0.09,0.08,185.56,5.02,85.88,91.22,143.18,126.04
mushroom_bic-3,0.0,3.0,2.5,0.86,8.0,14.0,2.5,3.73,1.0,14.0,5.0,3.22,8.4,3.0,2.5,0.86,9.0,14.0,2.5,3.85,1.0,14.0,5.0,3.37,10.06,3.0,2.59,0.8,13.0,14.0,2.59,4.04,1.0,16.0,5.18,3.81,18.81,3.0,2.45,0.91,10.0,12.0,2.45,3.57,1.0,14.0,4.91,3.32,10245.0,3.0,2.57,0.59,3.0,2.82,0.5,9.0,1.0,11.0,11.0,0.0,13.0,2.82,3.84,0.0,16.0,5.64,3.97,3.0,2.77,0.53,9.0,1.0,10.0,10.0,0.0,13.0,2.77,3.91,0.0,16.0,5.55,3.95,872.0,465.68,198.34,22.0,0.33,0.32,232.53,7.53,6100.41,2498.53,4976.81,5586.35
mushroom_bic-4,0.0,4.0,3.05,1.25,11.0,14.0,3.05,4.92,1.0,16.0,6.09,4.45,6.6,4.0,2.95,1.21,10.0,15.0,2.95,4.89,1.0,16.0,5.91,4.33,12.23,4.0,3.05,1.21,11.0,13.0,3.05,4.77,1.0,16.0,6.09,4.45,19.6,4.0,3.0,1.07,10.0,13.0,3.0,4.35,1.0,15.0,6.0,3.96,12818.0,4.0,2.86,0.78,4.0,3.55,0.8,8.0,1.0,14.0,14.0,0.0,15.0,3.55,4.91,0.0,18.0,7.09,4.99,4.0,3.45,0.91,8.0,1.0,14.0,14.0,0.0,15.0,3.45,5.09,0.0,18.0,6.91,5.15,1232.0,582.64,305.55,22.0,0.5,0.49,122.72,7.96,NaN,NaN,NaN,NaN
mushroom_bic-5,0.0,4.0,3.05,1.25,11.0,14.0,3.05,4.92,1.0,16.0,6.09,4.45,6.7,4.0,3.14,1.17,12.0,15.0,3.14,5.04,1.0,16.0,6.27,4.57,12.59,4.0,3.0,1.23,12.0,15.0,3.0,4.63,1.0,16.0,6.0,4.33,18.67,4.0,3.05,1.21,11.0,16.0,3.05,4.73,1.0,16.0,6.09,4.19,13021.0,5.0,2.89,0.82,4.0,3.55,0.8,8.0,1.0,14.0,14.0,0.0,15.0,3.55,4.91,0.0,18.0,7.09,4.99,4.0,3.45,0.91,8.0,1.0,14.0,14.0,0.0,15.0,3.45,5.09,0.0,18.0,6.91,5.15,1297.0,591.86,319.34,22.0,0.51,0.51,140.3,7.96,NaN,NaN,NaN,NaN
optdigits_bdeu-0.1-2,1.21,2.0,0.89,0.44,42.0,28.0,0.89,3.55,10.0,29.0,1.78,3.58,0.2,2.0,1.03,0.36,37.0,32.0,1.03,4.03,3.0,32.0,2.06,3.9,0.0,2.0,1.03,0.36,36.0,31.0,1.03,3.9,3.0,32.0,2.06,3.9,0.97,2.0,1.03,0.36,36.0,31.0,1.03,3.9,3.0,32.0,2.06,3.9,328.0,2.0,0.88,0.51,2.0,1.06,0.35,33.0,5.0,2.0,2.0,0.0,32.0,1.06,4.02,2.0,33.0,2.13,4.02,2.0,1.1,0.35,32.0,10.0,2.0,2.0,0.0,29.0,1.1,3.65,1.0,30.0,2.19,3.67,61.0,5.21,7.52,63.0,NaN,NaN,NaN,202.1,0.69,1.33,1.57,3.05
optdigits_bdeu-0.1-3,1.21,2.0,0.89,0.44,42.0,28.0,0.89,3.55,10.0,29.0,1.78,3.58,0.2,2.0,1.03,0.36,37.0,32.0,1.03,4.03,3.0,32.0,2.06,3.9,0.0,2.0,1.03,0.36,36.0,31.0,1.03,3.9,3.0,32.0,2.06,3.9,0.96,2.0,1.03,0.36,37.0,31.0,1.03,3.91,3.0,32.0,2.06,3.9,332.0,3.0,0.91,0.55,2.0,1.06,0.35,33.0,5.0,2.0,2.0,0.0,32.0,1.06,4.02,2.0,33.0,2.13,4.02,2.0,1.1,0.35,32.0,10.0,2.0,2.0,0.0,29.0,1.1,3.65,1.0,30.0,2.19,3.67,63.0,5.27,7.79,63.0,NaN,NaN,NaN,200.27,0.42,1.04,1.29,2.36
optdigits_bdeu-1-2,1.29,2.0,0.97,0.31,40.0,30.0,0.97,3.79,4.0,31.0,1.94,3.8,0.3,2.0,1.03,0.31,34.0,31.0,1.03,3.89,2.0,32.0,2.06,3.89,0.0,2.0,1.03,0.31,33.0,31.0,1.03,3.89,2.0,32.0,2.06,3.89,1.05,2.0,1.03,0.31,33.0,31.0,1.03,3.89,2.0,32.0,2.06,3.89,440.0,2.0,0.93,0.46,2.0,1.05,0.28,32.0,7.0,2.0,2.0,0.0,30.0,1.05,3.77,1.0,31.0,2.1,3.78,2.0,1.06,0.3,31.0,10.0,2.0,2.0,0.0,28.0,1.06,3.52,1.0,29.0,2.13,3.54,72.0,6.98,8.89,63.0,NaN,NaN,NaN,12.03,1.86,2.16,2.96,4.6
optdigits_bdeu-1-3,1.29,2.0,0.97,0.31,40.0,30.0,0.97,3.79,4.0,31.0,1.94,3.8,0.3,2.0,1.03,0.31,34.0,31.0,1.03,3.89,2.0,32.0,2.06,3.89,0.0,2.0,1.03,0.31,34.0,31.0,1.03,3.89,2.0,32.0,2.06,3.89,1.05,2.0,1.03,0.31,33.0,31.0,1.03,3.89,2.0,32.0,2.06,3.89,442.0,3.0,0.94,0.48,2.0,1.05,0.28,32.0,7.0,2.0,2.0,0.0,30.0,1.05,3.77,1.0,31.0,2.1,3.78,2.0,1.06,0.3,31.0,10.0,2.0,2.0,0.0,28.0,1.06,3.52,1.0,29.0,2.13,3.54,73.0,7.02,9.02,63.0,NaN,NaN,NaN,12.06,1.66,2.32,2.6,3.12
optdigits_bdeu-10-2,1.27,2.0,1.08,0.33,34.0,27.0,1.08,3.48,1.0,28.0,2.16,3.47,0.3,2.0,1.14,0.4,30.0,27.0,1.14,3.43,1.0,28.0,2.29,3.45,0.31,2.0,1.1,0.35,38.0,32.0,1.1,4.09,1.0,33.0,2.19,4.09,1.33,2.0,1.14,0.4,28.0,28.0,1.14,3.53,1.0,29.0,2.29,3.56,1134.0,2.0,1.31,0.57,2.0,1.17,0.38,29.0,7.0,5.0,2.57,1.13,27.0,1.17,3.43,0.0,29.0,2.35,3.58,2.0,1.17,0.38,28.0,8.0,9.0,3.0,2.45,25.0,1.17,3.18,0.0,27.0,2.35,3.34,100.0,18.0,20.06,63.0,NaN,NaN,NaN,11.26,6.06,5.86,4.65,5.44
optdigits_bdeu-10-3,1.18,3.0,1.11,0.44,34.0,27.0,1.11,3.46,1.0,28.0,2.22,3.49,0.3,3.0,1.21,0.57,28.0,27.0,1.21,3.49,1.0,28.0,2.41,3.54,0.21,3.0,1.13,0.46,36.0,31.0,1.13,3.95,1.0,32.0,2.25,3.96,1.2,3.0,1.21,0.57,28.0,26.0,1.21,3.36,1.0,27.0,2.41,3.41,1251.0,3.0,1.47,0.73,3.0,1.24,0.56,28.0,7.0,6.0,2.71,1.5,27.0,1.24,3.47,0.0,29.0,2.48,3.66,3.0,1.24,0.56,28.0,9.0,6.0,2.56,1.33,25.0,1.24,3.24,0.0,27.0,2.48,3.44,104.0,19.86,24.42,63.0,NaN,NaN,NaN,12.23,6.29,17.81,15.54,5.73
optdigits_bdeu-100-2,1.56,2.0,1.41,0.53,28.0,23.0,1.41,3.15,1.0,25.0,2.83,3.25,-1.0,2.0,1.56,0.5,22.0,22.0,1.56,2.97,0.0,24.0,3.11,3.18,0.46,2.0,1.38,0.52,31.0,25.0,1.38,3.34,1.0,26.0,2.76,3.4,1.86,2.0,1.37,0.52,29.0,24.0,1.37,3.19,1.0,25.0,2.73,3.25,7181.0,2.0,1.73,0.46,2.0,1.51,0.5,22.0,4.0,26.0,8.25,11.84,23.0,1.51,3.09,0.0,25.0,3.02,3.28,2.0,1.56,0.5,22.0,4.0,26.0,8.75,11.53,22.0,1.56,2.97,0.0,24.0,3.11,3.18,429.0,113.98,126.34,63.0,NaN,NaN,NaN,310.43,30.97,48.59,18.64,23.2
optdigits_bdeu-100-3,1.57,3.0,1.56,0.76,30.0,24.0,1.56,3.34,1.0,26.0,3.11,3.57,-1.0,3.0,1.75,0.76,20.0,22.0,1.75,3.01,0.0,24.0,3.49,3.37,0.7,3.0,1.56,0.78,35.0,30.0,1.56,4.07,1.0,30.0,3.11,4.07,1.87,3.0,1.54,0.76,27.0,27.0,1.54,3.6,1.0,28.0,3.08,3.76,13244.0,3.0,2.31,0.72,3.0,1.7,0.78,21.0,4.0,27.0,8.5,12.34,23.0,1.7,3.22,0.0,25.0,3.4,3.57,3.0,1.75,0.76,20.0,5.0,28.0,7.8,11.32,22.0,1.75,3.01,0.0,24.0,3.49,3.37,1085.0,210.22,302.29,63.0,NaN,NaN,NaN,467.54,107.04,123.16,53.07,67.72
optdigits_bic-6,1.01,1.0,0.78,0.42,48.0,30.0,0.78,3.8,14.0,31.0,1.56,3.85,0.3,1.0,0.78,0.42,50.0,32.0,0.78,4.05,14.0,32.0,1.56,3.98,0.0,1.0,0.78,0.42,47.0,30.0,0.78,3.79,14.0,31.0,1.56,3.85,1.02,1.0,0.78,0.42,49.0,30.0,0.78,3.8,14.0,31.0,1.56,3.86,303.0,1.0,0.79,0.41,1.0,0.79,0.41,45.0,4.0,2.0,2.0,0.0,30.0,0.79,3.79,13.0,31.0,1.59,3.85,1.0,0.81,0.4,44.0,7.0,2.0,2.0,0.0,29.0,0.81,3.66,12.0,30.0,1.62,3.73,48.0,4.81,5.94,63.0,NaN,NaN,NaN,1.5,0.64,1.35,1.74,2.07
plants_63_bdeu-0.1-2,15.0,2.0,1.95,0.28,7.0,5.0,1.95,1.26,1.0,7.0,3.9,1.23,-1.0,2.0,2.0,0.0,5.0,4.0,2.0,1.03,0.0,6.0,4.0,1.03,-1.0,2.0,2.0,0.0,5.0,4.0,2.0,1.03,0.0,6.0,4.0,1.03,29.62,2.0,1.17,0.55,16.0,3.0,1.17,0.89,5.0,4.0,2.35,0.99,111718.0,2.0,1.97,0.19,2.0,2.0,0.0,5.0,9.0,37.0,6.33,11.54,4.0,2.0,1.05,0.0,6.0,4.0,1.05,2.0,2.0,0.0,5.0,8.0,40.0,7.25,13.27,4.0,2.0,1.03,0.0,6.0,4.0,1.03,1916.0,1773.3,105.16,63.0,NaN,NaN,NaN,NaN,NaN,6870.77,NaN,NaN
